
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 01:55:11 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 5513150 rows, 1500 columns and 16540500 nonzeros
Model fingerprint: 0x56bc56f8
Variable types: 0 continuous, 1500 integer (1500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 13.0000000
Presolve removed 0 rows and 0 columns (presolve time = 7s) ...
Presolve removed 0 rows and 0 columns (presolve time = 20s) ...
Presolve removed 0 rows and 0 columns (presolve time = 30s) ...
Presolve time: 29.98s
Presolved: 5513150 rows, 1500 columns, 16540500 nonzeros
Variable types: 0 continuous, 1500 integer (1500 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   48130    8.3071938e+01   0.000000e+00   8.442528e+06    470s
   48670    8.3030284e+01   0.000000e+00   6.498568e+05    475s
   49210    8.2942640e+01   0.000000e+00   1.020749e+05    481s
   49534    8.2910637e+01   0.000000e+00   3.024259e+05    487s
   49966    8.2826725e+01   0.000000e+00   1.616715e+06    491s
   50506    8.2687587e+01   0.000000e+00   1.150181e+05    496s
   50938    8.2587649e+01   0.000000e+00   5.028905e+06    501s
   51478    8.2506422e+01   0.000000e+00   6.282111e+04    506s
   52126    8.2419746e+01   0.000000e+00   7.018943e+05    511s
   52666    8.2346089e+01   0.000000e+00   3.360457e+05    515s
   52990    8.2286782e+01   0.000000e+00   2.445862e+04    521s
   53530    8.2161015e+01   0.000000e+00   1.396630e+04    526s
   53854    8.2101685e+01   0.000000e+00   1.307901e+06    530s
   54394    8.2061069e+01   0.000000e+00   5.160884e+07    535s
   55150    8.1955601e+01   0.000000e+00   2.200529e+04    541s
   55690    8.1894482e+01   0.000000e+00   2.223078e+04    545s
   56122    8.1863011e+01   0.000000e+00   1.650908e+07    551s
   56662    8.1813703e+01   0.000000e+00   1.215739e+05    556s
   57310    8.1735176e+01   0.000000e+00   1.627902e+04    560s
   57850    8.1702630e+01   0.000000e+00   1.121748e+06    565s
   58498    8.1656024e+01   0.000000e+00   4.524407e+05    571s
   58822    8.1643795e+01   0.000000e+00   1.571665e+04    575s
   59254    8.1627290e+01   0.000000e+00   6.241589e+05    580s
   59794    8.1598416e+01   0.000000e+00   3.903580e+04    586s
   60118    8.1578756e+01   0.000000e+00   3.681783e+04    590s
