
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 00:54:36 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 6355125 rows, 2500 columns and 19067500 nonzeros
Model fingerprint: 0xa749d85d
Variable types: 0 continuous, 2500 integer (2500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 8s) ...
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolve removed 0 rows and 0 columns (presolve time = 23s) ...
Presolve removed 0 rows and 0 columns (presolve time = 36s) ...
Presolve time: 35.77s
Presolved: 6355125 rows, 2500 columns, 19067500 nonzeros
Variable types: 0 continuous, 2500 integer (2500 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   52810    6.7203105e+01   0.000000e+00   4.020753e+05    476s
   53320    6.7193635e+01   0.000000e+00   4.343315e+04    481s
   53830    6.7137643e+01   0.000000e+00   1.355281e+04    486s
   54340    6.7071999e+01   0.000000e+00   7.447679e+04    490s
   54952    6.7009591e+01   0.000000e+00   7.821566e+04    496s
   55564    6.6981386e+01   0.000000e+00   1.142508e+05    501s
   56176    6.6945060e+01   0.000000e+00   1.143926e+05    505s
   56890    6.6898908e+01   0.000000e+00   9.544204e+04    511s
   57502    6.6856795e+01   0.000000e+00   1.398950e+05    515s
   58216    6.6742849e+01   0.000000e+00   1.581070e+05    521s
   58828    6.6729070e+01   0.000000e+00   7.199009e+03    525s
   59542    6.6662118e+01   0.000000e+00   6.091684e+03    530s
   60256    6.6621154e+01   0.000000e+00   4.431644e+04    536s
   60868    6.6559707e+01   0.000000e+00   4.415410e+05    541s
   61480    6.6515876e+01   0.000000e+00   1.674323e+03    546s
   62092    6.6470216e+01   0.000000e+00   3.004862e+03    551s
   62602    6.6447936e+01   0.000000e+00   8.009016e+03    556s
   63214    6.6412126e+01   0.000000e+00   1.484790e+06    561s
   63724    6.6388596e+01   0.000000e+00   9.729940e+03    566s
   64234    6.6360221e+01   0.000000e+00   3.495997e+06    571s
   64744    6.6343523e+01   0.000000e+00   2.531239e+03    575s
   65254    6.6315568e+01   0.000000e+00   2.037699e+06    580s
   66070    6.6278708e+01   0.000000e+00   5.137888e+04    586s
   66580    6.6269056e+01   0.000000e+00   5.893419e+03    591s
   67192    6.6260289e+01   0.000000e+00   1.717110e+04    595s
   67702    6.6243228e+01   0.000000e+00   4.886474e+04    600s
   68416    6.6205872e+01   0.000000e+00   3.962584e+04    606s
