
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 02:25:28 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 8269650 rows, 2250 columns and 24810750 nonzeros
Model fingerprint: 0x3daf47ae
Variable types: 0 continuous, 2250 integer (2250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 0 rows and 0 columns (presolve time = 32s) ...
Presolve removed 0 rows and 0 columns (presolve time = 48s) ...
Presolve time: 48.25s
Presolved: 8269650 rows, 2250 columns, 24810750 nonzeros
Variable types: 0 continuous, 2250 integer (2250 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  643818    9.1413825e+01   0.000000e+00   9.015116e+07    510s
  651113    9.1366735e+01   0.000000e+00   3.572587e+07    515s
  658838    9.1340733e+01   0.000000e+00   7.610122e+06    520s
  666562    9.1314776e+01   0.000000e+00   1.111842e+07    525s
  673855    9.1290212e+01   0.000000e+00   2.559392e+07    530s
  681577    9.1261188e+01   0.000000e+00   1.644715e+07    535s
  689299    9.1232986e+01   0.000000e+00   1.331768e+07    540s
  696592    9.1188312e+01   0.000000e+00   2.137433e+07    545s
  704314    9.1159389e+01   0.000000e+00   2.188048e+07    550s
  711607    9.1105320e+01   0.000000e+00   3.390439e+07    555s
  718901    9.0960142e+01   0.000000e+00   1.269840e+07    560s
  726623    9.0922359e+01   0.000000e+00   1.390227e+07    565s
  733916    9.0898819e+01   0.000000e+00   1.255941e+07    570s
  740351    9.0884621e+01   0.000000e+00   6.741128e+07    575s
  748074    9.0844954e+01   0.000000e+00   2.745825e+07    580s
  755367    9.0792267e+01   0.000000e+00   1.010410e+07    585s
  762660    9.0745890e+01   0.000000e+00   7.922133e+06    590s
  770814    9.0664804e+01   0.000000e+00   5.985294e+07    595s
